premise	hypothesis	us_ratings	in_ratings
The dance studio was a place of sweat and rhythm, where bodies moved with grace as they lay on the floor, pretending to be clouds.	People in the dance studio engage in creative visualization exercises, such as imagining themselves as clouds.	['E', 'E', 'N', 'E', 'E']	['E', 'E', 'E', 'N', 'N']
Ringing a bell at the altar will definitely make everything magically better.	The speaker believes in the power of ringing a bell at the altar to make things better.	['E', 'E', 'E', 'E', 'E']	['E', 'N', 'E', 'C', 'E']
Ringing a bell at the altar will definitely make everything magically better.	The speaker is seeking a quick fix to their problems.	['E', 'N', 'C', 'C', 'E']	['N', 'N', 'N', 'N', 'N']
Ringing a bell at the altar will definitely make everything magically better.	The speaker is doubtful of the power of ringing a bell at the altar.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'E', 'C']
Let's just leave our dirty plates and napkins on the table for the next group of diners to admire.	The speaker is suggesting that leaving dirty plates and napkins should be considered admirable.	['E', 'C', 'E', 'N', 'C', 'C', 'C']	['N', 'C', 'E', 'C', 'C']
Let's just leave our dirty plates and napkins on the table for the next group of diners to admire.	The speaker is suggesting that leaving dirty plates and napkins on the table is not a desirable thing to do.	['C', 'C', 'C', 'C', 'E', 'E', 'E']	['N', 'E', 'C', 'E', 'N']
Let's just leave our dirty plates and napkins on the table for the next group of diners to admire.	The speaker is disappointed that their dining companions are not taking responsibility for cleaning up after themselves.	['C', 'E', 'N', 'C', 'E', 'E', 'E']	['N', 'E', 'C', 'N', 'C']
Just had a great chat with my taxi driver on the way to the airport, love how you can meet interesting people anywhere!	Taxi drivers are never interesting to talk to.	['C', 'C', 'N', 'C', 'C']	['C', 'C', 'C', 'N', 'C']
Just had a great chat with my taxi driver on the way to the airport, love how you can meet interesting people anywhere!	Taxi drivers meet interesting people in certain locations.	['N', 'N', 'N', 'N', 'N']	['N', 'N', 'E', 'N', 'N']
Just had a great chat with my taxi driver on the way to the airport, love how you can meet interesting people anywhere!	Taxi drivers are not the most likely people to be friendly and approachable.	['N', 'C', 'C', 'N', 'C']	['C', 'N', 'N', 'N', 'C']
It's common to strike up a conversation with someone while having a rideshare.	Having a rideshare usually involves chatting with the driver.	['N', 'E', 'E', 'E', 'E']	['E', 'N', 'E', 'N', 'E']
It's common to strike up a conversation with someone while having a rideshare.	Many people are open to chatting with other passengers on rideshare.	['E', 'E', 'E', 'N', 'N']	['E', 'E', 'E', 'N', 'E']
It's common to strike up a conversation with someone while having a rideshare.	People prefer to ride in silence rather than having a conversation in a rideshare.	['N', 'C', 'C', 'N', 'C']	['C', 'C', 'C', 'N', 'C']
She would never dream of paying for her petrol with a handful of pennies at the petrol station, for it was simply not done in polite society.	She believed that paying for petrol with a handful of pennies is not an acceptable behavior in society.	['E', 'E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'N']
She would never dream of paying for her petrol with a handful of pennies at the petrol station, for it was simply not done in polite society.	She finally got a chance to use her pennies to pay for petrol.	['C', 'N', 'C', 'N', 'C', 'C']	['N', 'C', 'N', 'N', 'E']
She would never dream of paying for her petrol with a handful of pennies at the petrol station, for it was simply not done in polite society.	She wanted to pay for petrol with pennies to get rid of pennies.	['C', 'C', 'C', 'N', 'C', 'C']	['N', 'C', 'C', 'N', 'N']
Wearing a watch at temple is definitely the best way to show your devotion to a higher power.	Wearing a watch at a temple violates their religious beliefs.	['N', 'C', 'N', 'N', 'C']	['N', 'C', 'C', 'C', 'C']
Wearing a watch at temple is definitely the best way to show your devotion to a higher power.	Wearing a watch distinguishes yourself from others at the temple.	['N', 'N', 'E', 'N', 'N']	['C', 'C', 'N', 'N', 'N']
Wearing a watch at temple is definitely the best way to show your devotion to a higher power.	Wearing a watch is a way to show their respect to their religious beliefs.	['N', 'E', 'N', 'N', 'N']	['E', 'N', 'E', 'N', 'E']
It's not wise to have your furry friends join you inside the tent, unless you fancy waking up to a symphony of barks and meows.	The speaker believes that bringing pets results in a noisy morning due to the pets barking or meowing.	['E', 'E', 'E', 'E', 'N', 'E']	['E', 'E', 'E', 'E', 'N']
It's not wise to have your furry friends join you inside the tent, unless you fancy waking up to a symphony of barks and meows.	The speaker is frustrated with having pets inside their tent.	['N', 'N', 'E', 'N', 'N', 'N']	['N', 'N', 'N', 'N', 'C']
It's not wise to have your furry friends join you inside the tent, unless you fancy waking up to a symphony of barks and meows.	The speaker advises people to leave their pets outside the tent.	['E', 'E', 'N', 'N', 'E', 'E']	['E', 'E', 'N', 'E', 'N']
Sneaking a pet into a tent during a camping trip is frowned upon by park rangers.	Sneaking a pet into a tent during a camping trip is against park rules.	['E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'N']
Sneaking a pet into a tent during a camping trip is frowned upon by park rangers.	Sneaking a pet into a tent is encouraged by park rangers.	['C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
Sneaking a pet into a tent during a camping trip is frowned upon by park rangers.	Sneaking a pet into a tent is a harmless activity that doesn't violate any park rules.	['C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
PSA: Avoid paying in cash at a car dealership unless you want to raise some serious red flags.	Bringing a lot of cash with you to a car dealership will raise red flags.	['E', 'E', 'N', 'E', 'E']	['E', 'E', 'E', 'N', 'N']
PSA: Avoid paying in cash at a car dealership unless you want to raise some serious red flags.	Not taking a loan at a car dealership will raise red flags.	['N', 'E', 'N', 'N', 'N']	['N', 'C', 'C', 'C', 'N']
PSA: Avoid paying in cash at a car dealership unless you want to raise some serious red flags.	Avoiding the use of credit cards at a car dealership will raise some red flags.	['N', 'N', 'E', 'N', 'N']	['C', 'N', 'N', 'N', 'N']
Serving champagne in the grand ballroom is a surefire way to turn the dance floor into a raucous party.	Champagne has the power to create chaos in the ballroom.	['E', 'E', 'E', 'N', 'N']	['E', 'E', 'C', 'C', 'E']
Serving champagne in the grand ballroom is a surefire way to turn the dance floor into a raucous party.	Serving champagne in the grand ballroom will make the atmosphere more lively and fun.	['E', 'E', 'E', 'N', 'E']	['E', 'C', 'E', 'E', 'E']
Serving champagne in the grand ballroom is a surefire way to turn the dance floor into a raucous party.	The speaker felt excited about the idea of serving champagne in the grand ballroom.	['N', 'E', 'N', 'N', 'N']	['E', 'N', 'E', 'N', 'N']
The bright artificial illumination in one's bedroom is an offense to the natural order of darkness and repose.	Bright artificial light helps you fall asleep faster.	['C', 'C', 'C', 'C', 'C']	['C', 'N', 'C', 'C', 'C']
The bright artificial illumination in one's bedroom is an offense to the natural order of darkness and repose.	Darkness is necessary for the body to produce melatonin, a hormone that regulates sleep.	['E', 'E', 'N', 'N', 'N']	['N', 'N', 'E', 'E', 'N']
The bright artificial illumination in one's bedroom is an offense to the natural order of darkness and repose.	The use of blackout curtains or turning off all lights before bed can promote a better sleep environment.	['E', 'E', 'N', 'E', 'E']	['E', 'N', 'N', 'E', 'E']
Nothing says "fun" like juggling a dozen items while trying to reach for that last box of cereal on the top shelf.	The person had fun getting the last box of cereal.	['C', 'C', 'C', 'C', 'C']	['N', 'E', 'N', 'C', 'N']
Nothing says "fun" like juggling a dozen items while trying to reach for that last box of cereal on the top shelf.	The person had difficulty reaching the cereal on the top shelf.	['E', 'E', 'E', 'E', 'E']	['E', 'N', 'N', 'E', 'N']
Nothing says "fun" like juggling a dozen items while trying to reach for that last box of cereal on the top shelf.	The person bought a dozen boxes of cereal from the shelf.	['C', 'C', 'C', 'C', 'C']	['N', 'C', 'C', 'N', 'C']
I didn't leave a tip. When I walked out, I told the lady who had seated me that I would go back to the hotel and have my dinner there.	The person enjoyed their experience at the restaurant.	['C', 'C', 'C', 'C', 'C']	['C', 'E', 'N', 'C', 'C']
I didn't leave a tip. When I walked out, I told the lady who had seated me that I would go back to the hotel and have my dinner there.	The person had a prior commitment at their hotel for dinner.	['N', 'C', 'C', 'C', 'C']	['E', 'E', 'N', 'C', 'N']
I didn't leave a tip. When I walked out, I told the lady who had seated me that I would go back to the hotel and have my dinner there.	The person was dissatisfied with the menu options at the restaurant.	['N', 'N', 'E', 'E', 'E']	['N', 'C', 'C', 'N', 'N']
Unlike in a movie theater, where people leave pockets of single seats, at the gym, people choose to work out next to another person.	People should sit next to each other in movie theaters, just like in gyms.	['N', 'N', 'C', 'C', 'C']	['C', 'C', 'E', 'N', 'C']
Unlike in a movie theater, where people leave pockets of single seats, at the gym, people choose to work out next to another person.	People are utilizing the space better at the gym.	['E', 'E', 'C', 'N', 'N']	['E', 'N', 'N', 'E', 'N']
Unlike in a movie theater, where people leave pockets of single seats, at the gym, people choose to work out next to another person.	People at the gym are more sociable.	['N', 'N', 'E', 'N', 'N']	['E', 'N', 'N', 'N', 'E']
His voice had the bland, neutral tone you would use if you were talking to someone you just happened to sit next to on the bus.	He had no specific interest in engaging with the listener beyond basic acknowledgement.	['N', 'E', 'E', 'E', 'C']	['E', 'E', 'N', 'E', 'N']
His voice had the bland, neutral tone you would use if you were talking to someone you just happened to sit next to on the bus.	He found it difficult to show enthusiasm in conversation.	['N', 'E', 'E', 'E', 'C']	['E', 'N', 'N', 'C', 'N']
His voice had the bland, neutral tone you would use if you were talking to someone you just happened to sit next to on the bus.	He did not intentionally maintain a professional demeanor.	['C', 'N', 'C', 'N', 'N']	['N', 'N', 'N', 'C', 'C']
The serving spoon is a communal utensil, and the gesture of pointing it at him articulates the communal response.	He was expected to take his turn with the serving spoon.	['E', 'N', 'E', 'N', 'N']	['N', 'E', 'E', 'N', 'N']
The serving spoon is a communal utensil, and the gesture of pointing it at him articulates the communal response.	He was not welcomed by the rest of the table.	['C', 'N', 'C', 'N', 'C']	['C', 'C', 'C', 'N', 'C']
The serving spoon is a communal utensil, and the gesture of pointing it at him articulates the communal response.	He felt awkward that the communal spoon was pointing at him.	['C', 'N', 'N', 'N', 'E']	['N', 'N', 'C', 'N', 'C']
I got some yogurt for lunch.	I had a light lunch.	['E', 'E', 'N', 'N', 'E']	['N', 'N', 'E', 'N', 'N']
I got some yogurt for lunch.	I liked having yogurt for lunch.	['E', 'E', 'N', 'N', 'N']	['E', 'N', 'E', 'N', 'N']
I got some yogurt for lunch.	I was on a healthy diet.	['E', 'E', 'N', 'E', 'N']	['N', 'N', 'E', 'N', 'N']
It wasn't uncommon to see a family of 5 riding together. Having 3 bules riding a single one would have been just fine.	Having three travelers riding on one motorcycle would not be a problem at all.	['E', 'E', 'N', 'E', 'N']	['E', 'N', 'C', 'E', 'E']
It wasn't uncommon to see a family of 5 riding together. Having 3 bules riding a single one would have been just fine.	Having families of up to five people riding in a motorcycle is common in the area.	['E', 'E', 'N', 'E', 'E']	['E', 'N', 'E', 'E', 'C']
It wasn't uncommon to see a family of 5 riding together. Having 3 bules riding a single one would have been just fine.	Having three adults riding in a single motorcycle makes them feel unsafe.	['C', 'C', 'C', 'N', 'N']	['C', 'N', 'E', 'N', 'C']
I wanted to split the bill with you, she said as they made their way toward the car, causing him to stop abruptly and replied "I asked you out to dinner. I pay for said dinner."	He was interested in splitting the bill with her.	['C', 'C', 'C', 'C', 'C', 'C', 'E']	['C', 'C', 'E', 'C', 'C']
I wanted to split the bill with you, she said as they made their way toward the car, causing him to stop abruptly and replied "I asked you out to dinner. I pay for said dinner."	She thought he would want to split the bill with her.	['N', 'E', 'E', 'N', 'N', 'N', 'N']	['N', 'N', 'N', 'E', 'N']
I wanted to split the bill with you, she said as they made their way toward the car, causing him to stop abruptly and replied "I asked you out to dinner. I pay for said dinner."	She had an enjoyable dinner with him.	['N', 'C', 'N', 'C', 'N', 'N', 'N']	['N', 'N', 'E', 'N', 'N']
Listening to others when they talk is not seen as praiseworthy and the failure to observe these sorts of minor graces is seen as a moral failing.	People are supposed to listen to others when they talk.	['C', 'E', 'E', 'E', 'E', 'E']	['E', 'N', 'C', 'N', 'N']
Listening to others when they talk is not seen as praiseworthy and the failure to observe these sorts of minor graces is seen as a moral failing.	People do not value listening to others when they are talking.	['N', 'N', 'N', 'E', 'N', 'E']	['C', 'E', 'N', 'N', 'N']
Listening to others when they talk is not seen as praiseworthy and the failure to observe these sorts of minor graces is seen as a moral failing.	People fail to appreciate the graces of listening to others.	['N', 'N', 'N', 'E', 'N', 'E']	['N', 'E', 'E', 'E', 'N']
Saying thanks when someone is holding the door for us does not imply that I am grateful to that person for doing so.	The speaker expects people to hold the door for others.	['E', 'N', 'E', 'N', 'E']	['E', 'C', 'N', 'C', 'N', 'E', 'N']
Saying thanks when someone is holding the door for us does not imply that I am grateful to that person for doing so.	The speaker expects people to say thanks when someone is holding the door for them.	['N', 'N', 'E', 'C', 'N']	['E', 'N', 'N', 'N', 'E', 'E', 'C']
Saying thanks when someone is holding the door for us does not imply that I am grateful to that person for doing so.	The speaker does not want others to hold the door for them.	['C', 'C', 'N', 'C', 'N']	['C', 'N', 'C', 'E', 'C', 'C', 'C']
She said to her sister, "Um, Diwali is coming up pretty soon huh?"	The speaker meant to say "It's soon going to be our Diwali celebration."	['E', 'E', 'E', 'N', 'E', 'E', 'N']	['E', 'E', 'N', 'E', 'E']
She said to her sister, "Um, Diwali is coming up pretty soon huh?"	The speaker meant to say "It's time to decorate our home."	['N', 'C', 'N', 'C', 'N', 'N', 'N']	['E', 'C', 'N', 'N', 'N']
She said to her sister, "Um, Diwali is coming up pretty soon huh?"	The speaker meant to say "It's time to clean our house."	['N', 'N', 'N', 'N', 'N', 'C', 'N']	['E', 'C', 'N', 'N', 'N']
Without a healthy diet, a person's physical health can deteriorate.	A person's physical health is dependent on their diet.	['N', 'N', 'N', 'E', 'N', 'E', 'N']	['E', 'E', 'E', 'E', 'E']
Without a healthy diet, a person's physical health can deteriorate.	A person's physical health can deteriorate without a healthy diet, except for those with genetic predispositions to certain illnesses.	['E', 'E', 'E', 'N', 'N', 'E', 'C']	['N', 'N', 'C', 'N', 'N']
Without a healthy diet, a person's physical health can deteriorate.	A healthy diet is necessary to prevent physical health deterioration.	['E', 'N', 'E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
If you make eye contact with the elderly on the train you get the full version of "my life story".	The speaker wants to share their life story with others.	['N', 'C', 'C', 'N', 'N', 'C']	['N', 'N', 'N', 'N', 'C']
If you make eye contact with the elderly on the train you get the full version of "my life story".	The speaker enjoyed talking with the elderly on the train about the elderly's life experience.	['E', 'N', 'N', 'N', 'C', 'N']	['E', 'N', 'N', 'N', 'C']
If you make eye contact with the elderly on the train you get the full version of "my life story".	The speaker felt annoyed by the elderly person's tendency to share personal information without invitation.	['C', 'E', 'C', 'N', 'E', 'N']	['C', 'C', 'C', 'N', 'E']
They patiently observed the crowd emptying out of the train before getting on.	They try to avoid any chaos while boarding the train.	['E', 'E', 'E', 'N', 'N']	['E', 'N', 'E', 'N']
They patiently observed the crowd emptying out of the train before getting on.	They were waiting to ensure that they had enough space to board the train.	['N', 'E', 'E', 'E', 'N']	['E', 'E', 'E', 'E']
They patiently observed the crowd emptying out of the train before getting on.	They were taking a cautious approach to board the train.	['E', 'E', 'N', 'E', 'E']	['E', 'N', 'E', 'N']
It is as if a truth universally acknowledged that a person in possession of a backpack on a train must be in want of an empty seat to rest it upon.	When a person boards a train with a backpack, they unfairly take an empty seat with their backpack.	['C', 'N', 'N', 'N', 'N', 'C', 'E']	['C', 'C', 'E', 'N', 'C', 'C', 'C']
It is as if a truth universally acknowledged that a person in possession of a backpack on a train must be in want of an empty seat to rest it upon.	It is polite for passengers to offer their seat to someone with a backpack who is looking for a place to sit.	['C', 'N', 'N', 'E', 'N', 'C', 'N']	['N', 'N', 'E', 'N', 'E', 'E', 'E']
It is as if a truth universally acknowledged that a person in possession of a backpack on a train must be in want of an empty seat to rest it upon.	A person with a backpack on a train may feel uncomfortable standing for the duration of their journey.	['E', 'E', 'E', 'E', 'E', 'E', 'C']	['E', 'E', 'N', 'E', 'E', 'E', 'E']
The eager guests gathered round, their eyes fixed on the expectant mother as she prepared to slice into the chocolate cake revealing the sweet secret.	The expectant mother is revealing the secret through the color of the cake.	['E', 'E', 'N', 'N', 'E', 'E']	['E', 'N', 'N', 'E', 'E']
The eager guests gathered round, their eyes fixed on the expectant mother as she prepared to slice into the chocolate cake revealing the sweet secret.	The expectant mother is revealing some other good news about her health.	['N', 'C', 'N', 'N', 'N', 'C']	['C', 'C', 'E', 'C', 'N']
The eager guests gathered round, their eyes fixed on the expectant mother as she prepared to slice into the chocolate cake revealing the sweet secret.	The expectant mother is celebrating her birthday.	['C', 'C', 'N', 'N', 'E', 'C']	['N', 'N', 'N', 'C', 'N']
I usually leave the door open for the host to decide.	The speaker forgot to close the door.	['C', 'C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
I usually leave the door open for the host to decide.	The speaker showcased their disregard for the host's property.	['N', 'N', 'N', 'N', 'E', 'N']	['N', 'N', 'N', 'N', 'N']
I usually leave the door open for the host to decide.	The speaker was waiting for the host to close the door.	['N', 'C', 'C', 'E', 'N', 'E']	['N', 'E', 'N', 'N', 'N']
Leaving the door open at home is often seen as an invitation to come in and chat.	You invite others to come in and chat by leaving the door open at home.	['E', 'E', 'N', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
Leaving the door open at home is often seen as an invitation to come in and chat.	You will feel frustrated when someone comes in uninvited after leaving the door open.	['C', 'N', 'C', 'N', 'N', 'C']	['C', 'C', 'C', 'N', 'C']
Leaving the door open at home is often seen as an invitation to come in and chat.	You should leave the door open.	['N', 'N', 'N', 'N', 'N', 'N']	['C', 'N', 'N', 'C', 'C']
She is waiting patiently for her elder sister to tie the knot before taking the leap herself.	She waits in order to ensure that she has a role model to follow and avoid making any mistakes.	['N', 'C', 'N', 'N', 'N', 'E', 'N']	['N', 'C', 'N', 'N', 'N']
She is waiting patiently for her elder sister to tie the knot before taking the leap herself.	She actually has other reasons for her delay, such as financial considerations.	['N', 'N', 'C', 'N', 'N', 'N', 'N']	['C', 'N', 'N', 'C', 'C']
She is waiting patiently for her elder sister to tie the knot before taking the leap herself.	She respects her family's or her elder sister's decision.	['N', 'N', 'N', 'N', 'E', 'N', 'E']	['N', 'E', 'E', 'E', 'N']
Parents huddled around their children, discussing the myriad of options for their college future.	The children are in their high school years.	['N', 'N', 'N', 'N', 'N', 'N']	['N', 'E', 'E', 'N', 'N']
Parents huddled around their children, discussing the myriad of options for their college future.	The parents are actively involved in their children's decision-making process regarding their education.	['N', 'N', 'E', 'E', 'N', 'E']	['C', 'E', 'E', 'E', 'E']
Parents huddled around their children, discussing the myriad of options for their college future.	There is a single option available to the children for their college future.	['C', 'C', 'C', 'C', 'C', 'C']	['N', 'C', 'C', 'C', 'C']
At the back of my car, I put up a sign of a little fish, whose peculiar trait was the possession of limbs.	The speaker expressed their creativity by displaying an unconventional sign on their car.	['N', 'E', 'N', 'N', 'N', 'N', 'N']	['N', 'E', 'C', 'E', 'N']
At the back of my car, I put up a sign of a little fish, whose peculiar trait was the possession of limbs.	The speaker intended to make a statement about evolution.	['C', 'N', 'N', 'C', 'E', 'N', 'E']	['E', 'N', 'N', 'N', 'C']
At the back of my car, I put up a sign of a little fish, whose peculiar trait was the possession of limbs.	The speaker had a positive feeling towards fish.	['N', 'E', 'N', 'E', 'N', 'N', 'N']	['N', 'E', 'E', 'E', 'N']
The car is adorned with a plethora of colorful stickers, as if it were a badge of honor for the driver.	The car's owner enjoys expressing themselves through their personal belongings.	['N', 'N', 'N', 'E', 'E', 'E']	['E', 'E', 'E', 'N', 'N']
The car is adorned with a plethora of colorful stickers, as if it were a badge of honor for the driver.	The car's owner wants to stand out on the road.	['C', 'E', 'N', 'E', 'E', 'E']	['N', 'N', 'E', 'C', 'N']
The car is adorned with a plethora of colorful stickers, as if it were a badge of honor for the driver.	The stickers on the car are an important aspect of the owner's identity.	['C', 'E', 'N', 'N', 'E', 'E']	['N', 'N', 'E', 'E', 'E']
I appreciate there are always plenty of delicious meat-free options to choose from!	The speaker is a vegetarian.	['E', 'N', 'E', 'N', 'E']	['E', 'N', 'E', 'N', 'E']
I appreciate there are always plenty of delicious meat-free options to choose from!	The speaker thinks that meat-free options are usually not delicious.	['N', 'C', 'C', 'C', 'C']	['N', 'C', 'C', 'N', 'N']
I appreciate there are always plenty of delicious meat-free options to choose from!	The speaker knows there are usually meat options to choose from.	['N', 'E', 'N', 'N', 'E']	['C', 'N', 'N', 'N', 'E']
Public transit is good because it gets cars off the road and gets people walking.	Public transit encourages people to walk more, promoting a healthier lifestyle.	['E', 'E', 'E', 'E', 'E']	['N', 'E', 'N', 'E']
Public transit is good because it gets cars off the road and gets people walking.	Public transit is an effective way to reduce traffic congestion on the roads.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'N']
Public transit is good because it gets cars off the road and gets people walking.	Public transit is often more affordable than owning and maintaining a personal vehicle.	['N', 'E', 'N', 'N', 'N']	['C', 'N', 'N', 'N']
In today's fast-paced work environment, staying quiet and observing is no different from a lack of participation.	Being proactive and voicing opinions is essential to staying relevant in a fast-paced work environment.	['E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'N', 'C', 'N']
In today's fast-paced work environment, staying quiet and observing is no different from a lack of participation.	Being a passive observer is perceived as engagement in the workplace.	['N', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C', 'C', 'C']
In today's fast-paced work environment, staying quiet and observing is no different from a lack of participation.	There are situations where observing and listening can also provide valuable insights.	['N', 'C', 'C', 'C']	['C', 'N', 'C', 'E', 'E', 'E', 'N']
He is as wise as an owl!	The speaker is praising the intelligence of someone.	['E', 'E', 'E', 'E', 'E']	['N', 'E', 'E', 'C']
He is as wise as an owl!	The speaker uses an analogy to suggest that someone is as smart as an owl.	['E', 'E', 'E', 'E', 'E']	['N', 'E', 'E', 'N']
He is as wise as an owl!	The speaker uses an irony to suggest that someone is as foolish as an owl.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'E']
He was carefully checking the brand of the bottled water before purchasing it from a store.	He was cautious about the quality of the bottled water he was about to buy.	['E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'N']
He was carefully checking the brand of the bottled water before purchasing it from a store.	There are multiple brands of bottled water that look similar.	['N', 'N', 'E', 'C']	['N', 'N', 'N', 'N', 'N']
He was carefully checking the brand of the bottled water before purchasing it from a store.	He was checking the brand of bottled water out of habit.	['N', 'N', 'N', 'N']	['C', 'N', 'N', 'N', 'E']
We all know that the brand of bottled water makes a huge difference in the taste.	Despite the impact of the brand of bottled water, all bottled water just tastes like water.	['C', 'N', 'N', 'C', 'C', 'N', 'C']	['C', 'C', 'C', 'C', 'C', 'C', 'C']
We all know that the brand of bottled water makes a huge difference in the taste.	The speaker wants to promote bottled water from a particular brand.	['E', 'N', 'E', 'N', 'N', 'E', 'C']	['N', 'N', 'C', 'C', 'E', 'N', 'E']
We all know that the brand of bottled water makes a huge difference in the taste.	The taste of bottled water is influenced by the brand.	['E', 'E', 'N', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E', 'E', 'N']
I saw the clothesline stood taut in the breeze, holding the freshly laundered clothes as they danced in the sunlight, a familiar sight to all who lived in the countryside.	The clothesline is a common sight in the countryside.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E', 'E']
I saw the clothesline stood taut in the breeze, holding the freshly laundered clothes as they danced in the sunlight, a familiar sight to all who lived in the countryside.	The clothesline is unusual to those who did not live in the countryside.	['N', 'N', 'E', 'N', 'E']	['N', 'N', 'C', 'C', 'N', 'N']
I saw the clothesline stood taut in the breeze, holding the freshly laundered clothes as they danced in the sunlight, a familiar sight to all who lived in the countryside.	The clothesline reminds the speaker about life in the countryside.	['E', 'E', 'E', 'E', 'E']	['N', 'N', 'E', 'E', 'E', 'E']
Well, it's a rare individual who hasn't thrown a load of clothes in the dryer and sat back with a sense of contentment.	Most people have experienced the feeling of contentment that comes from completing a simple household task like doing laundry.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'N', 'E', 'E']
Well, it's a rare individual who hasn't thrown a load of clothes in the dryer and sat back with a sense of contentment.	Most people have thrown clothes in the dryer and felt satisfied with themselves for getting something done.	['E', 'E', 'E', 'E', 'E']	['E', 'C', 'E', 'N', 'E', 'E', 'E']
Well, it's a rare individual who hasn't thrown a load of clothes in the dryer and sat back with a sense of contentment.	Most people would prefer to throw clothes in the dryer over drying clothes in more involved ways.	['E', 'C', 'C', 'E', 'N']	['E', 'C', 'N', 'C', 'N', 'E', 'N']
The bank requires customers to write the number seven with a line through the middle.	The bank can prevent fraud by asking customers to have personalized number writing.	['N', 'C', 'N', 'N', 'N']	['N', 'N', 'N', 'C', 'N', 'N', 'N']
The bank requires customers to write the number seven with a line through the middle.	The bank ensures consistency and clarity in the written information provided by customers.	['E', 'N', 'E', 'C', 'E']	['N', 'E', 'N', 'E', 'E', 'E', 'N']
The bank requires customers to write the number seven with a line through the middle.	The bank requirement is part of their signature verification process.	['N', 'E', 'N', 'N', 'N']	['N', 'N', 'N', 'C', 'E', 'E', 'N']
You either write the letter 'Z' with an emphatic line in its midriff, or else risk losing the battle in your exams.	The absence of an emphatic line in the 'Z' is viewed as a failure to attend to details on exams.	['E', 'N', 'N', 'E', 'E']	['C', 'N', 'E', 'C', 'N', 'C']
You either write the letter 'Z' with an emphatic line in its midriff, or else risk losing the battle in your exams.	Proper handwriting is important for your exams.	['N', 'E', 'N', 'E', 'E']	['N', 'E', 'N', 'N', 'N', 'E']
You either write the letter 'Z' with an emphatic line in its midriff, or else risk losing the battle in your exams.	Writing the letter 'Z' in a certain way helps you do well on exams.	['N', 'N', 'N', 'N', 'E']	['C', 'C', 'E', 'C', 'N', 'N']
We drank our beer with the same ease one would have a glass of water, for who could deny the necessity of a little refreshment in the midst of a workday.	Having a beer is necessary for refreshing oneself during the workday.	['E', 'C', 'N', 'N']	['C', 'E', 'E', 'C', 'N']
We drank our beer with the same ease one would have a glass of water, for who could deny the necessity of a little refreshment in the midst of a workday.	Drinking a glass of beer is not the same as drinking a glass of water.	['N', 'N', 'N', 'C']	['C', 'C', 'C', 'C', 'C']
We drank our beer with the same ease one would have a glass of water, for who could deny the necessity of a little refreshment in the midst of a workday.	Having a beer is hardly necessary during the workday.	['C', 'N', 'N', 'C']	['E', 'C', 'C', 'N', 'N']
As I got into the taxi and sat next to the driver, I could feel the driver's discomfort.	The driver was uncomfortable with how much the passenger had paid.	['C', 'C', 'C', 'C', 'C']	['N', 'C', 'C', 'N', 'C', 'C']
As I got into the taxi and sat next to the driver, I could feel the driver's discomfort.	The driver was uncomfortable with the passenger's physical appearance or scent.	['N', 'E', 'N', 'N', 'N']	['C', 'C', 'N', 'N', 'N', 'C']
As I got into the taxi and sat next to the driver, I could feel the driver's discomfort.	The driver was uncomfortable with their personal space.	['E', 'E', 'E', 'E', 'N']	['C', 'E', 'E', 'N', 'E', 'E']
He got on the rideshare and left the front seat for the next passenger.	He did not want to interact with the next passenger.	['N', 'C', 'N', 'N', 'N']	['C', 'N', 'N', 'N', 'N']
He got on the rideshare and left the front seat for the next passenger.	He sat in the back seat of the car.	['E', 'E', 'E', 'N', 'E']	['E', 'N', 'E', 'E', 'E']
He got on the rideshare and left the front seat for the next passenger.	He was respectful towards the next passenger.	['E', 'E', 'N', 'N', 'N']	['C', 'N', 'E', 'E', 'E']
Won't you give any discount? she asked. "No madam, these are really very good items and that's why they are costly but you can give me ten bucks less."	The seller is convinced that the items are of high quality and therefore, the price is justified.	['E', 'E', 'E', 'E', 'N']	['E', 'N', 'E', 'E', 'E', 'E', 'E']
Won't you give any discount? she asked. "No madam, these are really very good items and that's why they are costly but you can give me ten bucks less."	The seller is unwilling to offer a discount.	['N', 'C', 'C', 'C', 'N']	['C', 'C', 'N', 'C', 'N', 'C', 'N']
